geo_code,geo,time,poblacion
NO,Norway,1999,4445329
PL,Poland,1999,38666983
PT,Portugal,1999,10186634
RO,Romania,1999,22488595
RS,Serbia,1999,7552850
SE,Sweden,1999,8854322
SI,Slovenia,1999,1978334
SK,Slovakia,1999,5393382
TR,Türkiye,1999,65786563
UK,United Kingdom,1999,58579685
AL,Albania,1998,3354341
AT,Austria,1998,7971116
BE,Belgium,1998,10192264
BG,Bulgaria,1998,8283200
CH,Switzerland,1998,7096465
CY,Cyprus,1998,675215
CZ,Czechia,1998,10299125
DE,Germany (until 1990 former territory of the FRG),1998,82057379
DK,Denmark,1998,5294860
EE,Estonia,1998,1393074
EL,Greece,1998,10693250
ES,Spain,1998,40143449
FI,Finland,1998,5147349
FR,France,1998,58298962
HR,Croatia,1998,4536812
HU,Hungary,1998,10279724
IE,Ireland,1998,3693386
IS,Iceland,1998,272381
IT,Italy,1998,56904379
LI,LI Liechtenstein,1998,31320
LT,Lithuania,1998,3562261
LU,LU Luxembourg,1998,422050
LV,Latvia,1998,2420789
MK,North Macedonia,1998,2002340
MT,MT Malta,1998,384176
NL,Netherlands,1998,15654192
NO,Norway,1998,4417599
PL,Poland,1998,38659979
PT,Portugal,1998,10133758
RO,Romania,1998,22526093
SE,Sweden,1998,8847625
SI,Slovenia,1998,1984923
SK,Slovakia,1998,5387650
TR,Türkiye,1998,64641675
UK,United Kingdom,1998,58394596
AL,Albania,1997,3324317
AT,Austria,1997,7964966
BE,Belgium,1997,10170226
BG,Bulgaria,1997,8340936
CH,Switzerland,1997,7081346
CY,Cyprus,1997,666313
CZ,Czechia,1997,10309137
DE,Germany (until 1990 former territory of the FRG),1997,82012162
DK,Denmark,1997,5275121
EE,Estonia,1997,1405996
